name;common_name;iso_639_1;iso_639_2b;iso_639_2t;iso_639_3;is_common;type
Lehali;Lehali;;;;tql;false;living
Turumsa;Turumsa;;;;tqm;false;living
Tenino;Tenino;;;;tqn;false;living
Toaripi;Toaripi;;;;tqo;false;living
Tomoip;Tomoip;;;;tqp;false;living
Tunni;Tunni;;;;tqq;false;living
Torona;Torona;;;;tqr;false;extinct
Western Totonac;Western Totonac;;;;tqt;false;living
Touo;Touo;;;;tqu;false;living
Tonkawa;Tonkawa;;;;tqw;false;extinct
Tirahi;Tirahi;;;;tra;false;living
Terebu;Terebu;;;;trb;false;living
Copala Triqui;Copala Triqui;;;;trc;false;living
Turi;Turi;;;;trd;false;living
East Tarangan;East Tarangan;;;;tre;false;living
Trinidadian Creole English;Trinidadian Creole English;;;;trf;false;living
Lishán Didán;Lishán Didán;;;;trg;false;living
Turaka;Turaka;;;;trh;false;living
Trió;Trió;;;;tri;false;living
Toram;Toram;;;;trj;false;living
Traveller Scottish;Traveller Scottish;;;;trl;false;living
Tregami;Tregami;;;;trm;false;living
Trinitario;Trinitario;;;;trn;false;living
Tarao Naga;Tarao Naga;;;;tro;false;living
Kok Borok;Kok Borok;;;;trp;false;living
San Martín Itunyoso Triqui;San Martín Itunyoso Triqui;;;;trq;false;living
Taushiro;Taushiro;;;;trr;false;living
Chicahuaxtla Triqui;Chicahuaxtla Triqui;;;;trs;false;living
Tunggare;Tunggare;;;;trt;false;living
Turoyo;Turoyo;;;;tru;false;living
Taroko;Taroko;;;;trv;false;living
Torwali;Torwali;;;;trw;false;living
Tringgus-Sembaan Bidayuh;Tringgus-Sembaan Bidayuh;;;;trx;false;living
Turung;Turung;;;;try;false;extinct
Torá;Torá;;;;trz;false;extinct
Tsaangi;Tsaangi;;;;tsa;false;living
Tsamai;Tsamai;;;;tsb;false;living
Tswa;Tswa;;;;tsc;false;living
Tsakonian;Tsakonian;;;;tsd;false;living
Tunisian Sign Language;Tunisian Sign Language;;;;tse;false;living
Southwestern Tamang;Southwestern Tamang;;;;tsf;false;living
Tausug;Tausug;;;;tsg;false;living
Tsuvan;Tsuvan;;;;tsh;false;living
Tsimshian;Tsimshian;;tsi;tsi;tsi;false;living
Tshangla;Tshangla;;;;tsj;false;living
Tseku;Tseku;;;;tsk;false;living
Ts'ün-Lao;Ts'ün-Lao;;;;tsl;false;living
Turkish Sign Language;Turkish Sign Language;;;;tsm;false;living
Tswana;Tswana;tn;tsn;tsn;tsn;false;living
Tsonga;Tsonga;ts;tso;tso;tso;false;living
